firm,week_end,action,ticker,usd,m,q,dn_first_order,dn_exact,dn_per_dollar,filing_url
BMNR,2026-07-05,est_issuance,BMNR,46750006,0.876538,,-6.42376155515237e-06,-6.389294409244253e-06,-1.366693809812426e-13,
BMNR,2026-07-05,residual,,,,,,-2.984483604953972e-06,,
BMNR,2026-07-12,price,,,,,,-9.248853483093122e-06,,
BMNR,2026-07-12,itm_flip,,,,,,0.0,,
BMNR,2026-07-12,buy_coin,ETH,49909452,,,0.0,0.0,0.0,https://www.sec.gov/Archives/edgar/data/1829311/000149315226032951/ex99-1.htm
BMNR,2026-07-12,carry,DIV,-923650,,,,-8.479567760559525e-07,,https://www.sec.gov/Archives/edgar/data/1829311/000149315226028622/ex99-1.htm
BMNR,2026-07-12,carry,DIV,-369600,,,,-3.3931123740588154e-07,,https://www.sec.gov/Archives/edgar/data/1829311/000149315226029361/ex99-1.htm
BMNR,2026-07-12,est_issuance,BMNR,6639538,0.866921,,-9.356923223467621e-07,-9.350093067017617e-07,-1.4082445668902333e-13,
BMNR,2026-07-12,residual,,,,,,-4.007439884171071e-07,,
BMNR,2026-07-19,price,,,,,,-2.995082602933602e-06,,
BMNR,2026-07-19,itm_flip,,,,,,0.0,,
BMNR,2026-07-19,buy_coin,ETH,13676907,,,0.0,1.734723475976807e-18,1.26835947625265e-25,https://www.sec.gov/Archives/edgar/data/1829311/000149315226033855/ex99-1.htm
BMNR,2026-07-19,buyback_common,BMNR,85885800,0.881750,,1.0305069813299344e-05,1.0399266785735342e-05,1.2108249309822277e-13,https://www.sec.gov/Archives/edgar/data/1829311/000149315226033855/ex99-1.htm
BMNR,2026-07-19,carry,DIV,-646450,,,,-5.83658980698315e-07,,https://www.sec.gov/Archives/edgar/data/1829311/000149315226029507/ex99-1.htm
BMNR,2026-07-19,est_issuance,BMNR,3209157,0.885048,,-3.7632758514332e-07,-3.761997030282682e-07,-1.1722695031588697e-13,
BMNR,2026-07-19,residual,,,,,,0.0,,
BMNR,2026-07-26,price,,,,,,-3.340638768199039e-07,,
BMNR,2026-07-26,itm_flip,,,,,,0.0,,
BMNR,2026-07-26,buy_coin,ETH,18503961,,,0.0,0.0,0.0,https://www.sec.gov/Archives/edgar/data/1829311/000149315226034720/ex99-1.htm
BMNR,2026-07-26,buyback_common,BMNR,96319000,0.881334,,1.1581245283383951e-05,1.1699818205729295e-05,1.2146947366557873e-13,https://www.sec.gov/Archives/edgar/data/1829311/000149315226034720/ex99-1.htm
BMNR,2026-07-26,carry,DIV,-646450,,,,-5.832009783920955e-07,,https://www.sec.gov/Archives/edgar/data/1829311/000149315226029507/ex99-1.htm
BMNR,2026-07-26,residual,,,,,,-1.3808354391939975e-06,,
BMNR,2026-08-02,price,,,,,,5.957059800304476e-09,,
BMNR,2026-08-02,itm_flip,,,,,,0.0,,
BMNR,2026-08-02,buy_coin,ETH,19348300,,,0.0,-1.734723475976807e-18,-8.965767076383383e-26,https://www.sec.gov/Archives/edgar/data/1829311/000149315226035752/ex99-1.htm
BMNR,2026-08-02,buyback_common,BMNR,77760003,0.963448,,2.6612571691358867e-06,2.6815116007678635e-06,3.448445851612864e-14,https://www.sec.gov/Archives/edgar/data/1829311/000149315226035752/ex99-1.htm
BMNR,2026-08-02,carry,DIV,-646450,,,,-5.875920224690523e-07,,https://www.sec.gov/Archives/edgar/data/1829311/000149315226029507/ex99-1.htm
BMNR,2026-08-02,est_issuance,BMNR,2754753,0.963239,,-9.556069030020361e-08,-9.553493342077946e-08,-3.468003989571285e-14,
BMNR,2026-08-02,residual,,,,,,0.0,,
BMNR,2026-08-09,price,,,,,,4.4051165549677945e-06,,
BMNR,2026-08-09,itm_flip,,,,,,0.0,,
BMNR,2026-08-09,buy_coin,ETH,14138873,,,0.0,0.0,0.0,https://www.sec.gov/Archives/edgar/data/1829311/000149315226036757/ex99-1.htm
BMNR,2026-08-09,buyback_common,BMNR,56459999,1.019895,,-9.733945792271476e-07,-9.78356204059741e-07,-1.7328307118743785e-14,https://www.sec.gov/Archives/edgar/data/1829311/000149315226036757/ex99-1.htm
BMNR,2026-08-09,carry,DIV,-646450,,,,-5.742577659645365e-07,,https://www.sec.gov/Archives/edgar/data/1829311/000149315226029507/ex99-1.htm
BMNR,2026-08-09,est_issuance,BMNR,2245322,1.020059,,3.922241505951223e-08,3.921446465812717e-08,1.746495959622699e-14,
BMNR,2026-08-09,residual,,,,,,5.776628174414267e-08,,
BMNR,2026-08-16,price,,,,,,-3.7945180343685464e-06,,
BMNR,2026-08-16,itm_flip,,,,,,0.0,,
BMNR,2026-08-16,buy_coin,ETH,18664141,,,0.0,0.0,0.0,https://www.sec.gov/Archives/edgar/data/1829311/000149315226038652/ex99-1.htm
BMNR,2026-08-16,buyback_common,BMNR,30736000,0.997352,,7.373364081910871e-08,7.394734147236903e-08,2.4058869659165987e-15,https://www.sec.gov/Archives/edgar/data/1829311/000149315226038652/ex99-1.htm
BMNR,2026-08-16,carry,DIV,-646450,,,,-5.858047590779486e-07,,https://www.sec.gov/Archives/edgar/data/1829311/000149315226029507/ex99-1.htm
BMNR,2026-08-16,est_issuance,BMNR,24046591,0.997405,,-5.669338537226241e-08,-5.656519480590205e-08,-2.3523165999707634e-15,
BMNR,2026-08-16,residual,,,,,,0.0,,
BMNR,2026-08-23,price,,,,,,6.205805445279496e-05,,
BMNR,2026-08-23,itm_flip,,,,,,-5.920048704120134e-06,,
BMNR,2026-08-23,buy_coin,ETH,81603153,,,0.0,0.0,0.0,https://www.sec.gov/Archives/edgar/data/1829311/000149315226039789/ex99-1.htm
BMNR,2026-08-23,carry,DIV,-646450,,,,-4.3672299894145783e-07,,https://www.sec.gov/Archives/edgar/data/1829311/000149315226029507/ex99-1.htm
BMNR,2026-08-23,est_issuance,BMNR,312249603,0.936226,,-1.436925013219718e-05,-1.4042920187922955e-05,-4.497338044082618e-14,
BMNR,2026-08-23,residual,,,,,,0.0,,
BMNR,2026-08-30,price,,,,,,-8.238016241772506e-07,,
BMNR,2026-08-30,itm_flip,,,,,,0.0,,
BMNR,2026-08-30,buy_coin,ETH,130671250,,,0.0,0.0,0.0,https://www.sec.gov/Archives/edgar/data/1829311/000149315226040741/ex99-1.htm
BMNR,2026-08-30,carry,DIV,-646450,,,,-4.3948456974161887e-07,,https://www.sec.gov/Archives/edgar/data/1829311/000149315226029507/ex99-1.htm
BMNR,2026-08-30,est_issuance,BMNR,364317700,1.006589,,1.6212955568271199e-06,1.5811079912449177e-06,4.339915387381607e-15,
BMNR,2026-08-30,residual,,,,,,0.0,,
BMNR,2026-09-07,price,,,,,,-7.051851896901218e-07,,
BMNR,2026-09-07,itm_flip,,,,,,0.0,,
BMNR,2026-09-07,buy_coin,ETH,68981605,,,0.0,0.0,0.0,https://www.sec.gov/Archives/edgar/data/1829311/000149315226041713/ex99-1.htm
BMNR,2026-09-07,carry,DIV,-554050,,,,-3.6528491106566086e-07,,https://www.sec.gov/Archives/edgar/data/1829311/000149315226038012/ex99-1.htm
BMNR,2026-09-07,est_issuance,BMNR,121535655,1.050136,,3.825537488209674e-06,3.795622122002365e-06,3.123052339307822e-14,
BMNR,2026-09-07,residual,,,,,,-1.734723475976807e-18,,
BMNR,2026-09-13,price,,,,,,-3.714178398266793e-06,,
BMNR,2026-09-13,itm_flip,,,,,,0.0,,
BMNR,2026-09-13,buy_coin,ETH,68353537,,,0.0,0.0,0.0,https://www.sec.gov/Archives/edgar/data/1829311/000149315226042492/ex99-1.htm
BMNR,2026-09-13,carry,DIV,-646450,,,,-4.1299052503350475e-07,,https://www.sec.gov/Archives/edgar/data/1829311/000149315226038012/ex99-1.htm
BMNR,2026-09-13,est_issuance,BMNR,24999987,1.028098,,4.3650862497052577e-07,4.3580927901014366e-07,1.743238054104583e-14,
BMNR,2026-09-13,residual,,,,,,-1.734723475976807e-18,,
BMNR,2026-09-20,price,,,,,,-4.700329614339138e-06,,
BMNR,2026-09-20,itm_flip,,,,,,0.0,,
BMNR,2026-09-20,buy_coin,ETH,71979694,,,0.0,0.0,0.0,https://www.sec.gov/Archives/edgar/data/1829311/000149315226043486/ex99-1.htm
BMNR,2026-09-20,carry,DIV,-646450,,,,-3.970598729304692e-07,,https://www.sec.gov/Archives/edgar/data/1829311/000149315226038012/ex99-1.htm
BMNR,2026-09-20,est_issuance,BMNR,237626144,1.028494,,4.043524549421717e-06,3.985079827092605e-06,1.6770376169731523e-14,
BMNR,2026-09-20,residual,,,,,,0.0,,
MSTR,2026-06-07,price,,,,,,-0.0001583455334502968,,
MSTR,2026-06-07,itm_flip,,,,,,-1.5789308216188893e-05,,
MSTR,2026-06-07,buy_coin,BTC,101300000,,,0.0,-3.132941685686768e-07,-3.0927361161764738e-15,https://www.sec.gov/Archives/edgar/data/1050446/000119312526260709/mstr-20260504.htm
MSTR,2026-06-07,issue_common,MSTR,181000000,1.519263,,2.8452519454644753e-06,2.834051470591197e-06,1.5657742931443076e-14,https://www.sec.gov/Archives/edgar/data/1050446/000119312526260709/mstr-20260504.htm
MSTR,2026-06-07,residual,,,,,,9.299738410609507e-07,,
MSTR,2026-06-14,price,,,,,,3.9284174327036854e-05,,
MSTR,2026-06-14,itm_flip,,,,,,0.0,,
MSTR,2026-06-14,buy_coin,BTC,100000000,,,0.0,3.6296214626961934e-08,3.6296214626961936e-16,https://www.sec.gov/Archives/edgar/data/1050446/000119312526270311/mstr-20260504.htm
MSTR,2026-06-14,issue_common,MSTR,209000000,1.328223,,2.270230170329556e-06,2.2592986692602287e-06,1.0810041479714013e-14,https://www.sec.gov/Archives/edgar/data/1050446/000119312526270311/mstr-20260504.htm
MSTR,2026-06-14,residual,,,,,,-3.9648538816276953e-07,,
MSTR,2026-06-21,price,,,,,,-9.310650267772792e-06,,
MSTR,2026-06-21,itm_flip,,,,,,0.0,,
MSTR,2026-06-21,buy_coin,BTC,34900000,,,0.0,-9.692091516248086e-08,-2.7771035863175033e-15,https://www.sec.gov/Archives/edgar/data/1050446/000119312526276717/mstr-20260504.htm
MSTR,2026-06-21,issue_common,MSTR,335500000,1.381722,,4.095541986086473e-06,4.064871923632708e-06,1.2115862663584822e-14,https://www.sec.gov/Archives/edgar/data/1050446/000119312526276717/mstr-20260504.htm
MSTR,2026-06-21,residual,,,,,,-2.355512508330805e-08,,
MSTR,2026-06-28,price,,,,,,-4.3651211434218243e-05,,
MSTR,2026-06-28,itm_flip,,,,,,0.0,,
MSTR,2026-06-28,issue_common,MSTR,1152400000,1.096277,,4.651064910422944e-06,4.494015286642681e-06,3.899700873518466e-15,https://www.sec.gov/Archives/edgar/data/1050446/000119312526286871/mstr-20260629.htm
MSTR,2026-06-28,residual,,,,,,-1.0657127702908865e-07,,
MSTR,2026-06-30,price,,,,,,-2.167432321253807e-05,,
MSTR,2026-06-30,itm_flip,,,,,,0.0,,
MSTR,2026-06-30,sell_coin,BTC,80800000,,,0.0,4.4344542882981605e-08,5.48818600036901e-16,https://www.sec.gov/Archives/edgar/data/1050446/000119312526295586/mstr-20260706.htm
MSTR,2026-06-30,residual,,,,,,-3.67711203745299e-06,,
MSTR,2026-07-05,price,,,,,,4.2483163427682255e-05,,
MSTR,2026-07-05,itm_flip,,,,,,0.0,,
MSTR,2026-07-05,sell_coin,BTC,135200000,,,0.0,-7.003316970788376e-08,-5.179968173660041e-16,https://www.sec.gov/Archives/edgar/data/1050446/000119312526295586/mstr-20260706.htm
MSTR,2026-07-05,residual,,,,,,-5.8601999010318186e-06,,
MSTR,2026-07-12,price,,,,,,3.478263336925843e-05,,
MSTR,2026-07-12,itm_flip,,,,,,0.0,,
MSTR,2026-07-12,issue_common,MSTR,466700000,1.054348,,1.0001141511657615e-06,9.874321965205792e-07,2.1157750086149117e-15,https://www.sec.gov/Archives/edgar/data/1050446/000119312526301483/mstr-20260713.htm
MSTR,2026-07-12,residual,,,,,,-6.854622606046294e-07,,
MSTR,2026-07-19,price,,,,,,-2.538072367605027e-06,,
MSTR,2026-07-19,itm_flip,,,,,,0.0,,
MSTR,2026-07-19,issue_common,MSTR,263500000,1.054895,,5.646326634036948e-07,5.606019516908936e-07,2.1275216382956116e-15,https://www.sec.gov/Archives/edgar/data/1050446/000119312526308369/mstr-20260720.htm
MSTR,2026-07-19,residual,,,,,,-1.5740344850633057e-06,,
MSTR,2026-07-26,price,,,,,,2.269498792959899e-06,,
MSTR,2026-07-26,itm_flip,,,,,,0.0,,
MSTR,2026-07-26,issue_common,MSTR,544500000,1.092874,,1.8862609392164403e-06,1.8598790487362512e-06,3.4157558287167147e-15,https://www.sec.gov/Archives/edgar/data/1050446/000119312526316917/mstr-20260727.htm
MSTR,2026-07-26,retire_pref,STRC,25000000,,0.865261,1.5647579930646937e-07,1.5647579659576992e-07,6.259031863830797e-15,https://www.sec.gov/Archives/edgar/data/1050446/000119312526316917/mstr-20260727.htm
MSTR,2026-07-26,residual,,,,,,2.210677835280412e-07,,
MSTR,2026-08-02,price,,,,,,-1.4983012761452365e-05,,
MSTR,2026-08-02,itm_flip,,,,,,0.0,,
MSTR,2026-08-02,issue_common,MSTR,290600000,1.082507,,9.082945003193253e-07,9.013024032354655e-07,3.1015223786492275e-15,https://www.sec.gov/Archives/edgar/data/1050446/000119312526329565/mstr-20260803.htm
MSTR,2026-08-02,retire_pref,STRC,81200000,,0.890211,4.075087448592185e-07,4.075087297488768e-07,5.018580415626561e-15,https://www.sec.gov/Archives/edgar/data/1050446/000119312526329565/mstr-20260803.htm
MSTR,2026-08-02,sell_coin,BTC,104730000,,,0.0,7.449604921220404e-08,7.113152794061305e-16,https://www.sec.gov/Archives/edgar/data/1050446/000119312526329565/mstr-20260803.htm
MSTR,2026-08-02,carry,DIV_INT,-52400000,,,,-2.1322965598053172e-06,,https://www.sec.gov/Archives/edgar/data/1050446/000119312526329565/mstr-20260803.htm
MSTR,2026-08-02,residual,,,,,,-4.747688471936837e-07,,
MSTR,2026-08-09,price,,,,,,2.3330948831693128e-05,,
MSTR,2026-08-09,itm_flip,,,,,,0.0,,
MSTR,2026-08-09,issue_common,MSTR,653100000,1.060602,,1.4703495622286086e-06,1.4460058088768164e-06,2.214064934737125e-15,https://www.sec.gov/Archives/edgar/data/1050446/000119312526341297/mstr-20260810.htm
MSTR,2026-08-09,retire_pref,STRC,108600000,,0.942692,2.5581771055366417e-07,2.558177240332381e-07,2.3555959855730946e-15,https://www.sec.gov/Archives/edgar/data/1050446/000119312526341297/mstr-20260810.htm
MSTR,2026-08-09,sell_coin,BTC,108600000,,,0.0,-4.056147661539791e-08,-3.7349425981029384e-16,https://www.sec.gov/Archives/edgar/data/1050446/000119312526341297/mstr-20260810.htm
MSTR,2026-08-09,residual,,,,,,-1.2263440412598955e-07,,
MSTR,2026-08-16,price,,,,,,-2.016809280052799e-05,,
MSTR,2026-08-16,itm_flip,,,,,,0.0,,
MSTR,2026-08-16,issue_common,MSTR,333700000,1.076771,,9.496522423585925e-07,9.414656017166494e-07,2.821293382429276e-15,https://www.sec.gov/Archives/edgar/data/1050446/000119312526353240/mstr-20260817.htm
MSTR,2026-08-16,retire_pref,STRC,132200000,,0.951956,2.640146263832837e-07,2.640146389665081e-07,1.9970850148752503e-15,https://www.sec.gov/Archives/edgar/data/1050446/000119312526353240/mstr-20260817.htm
MSTR,2026-08-16,carry,DIV_INT,-52400000,,,,-2.073496265265649e-06,,https://www.sec.gov/Archives/edgar/data/1050446/000119312526353240/mstr-20260817.htm
MSTR,2026-08-16,residual,,,,,,3.561348547206737e-08,,
MSTR,2026-08-23,price,,,,,,0.00013175386821092923,,
MSTR,2026-08-23,itm_flip,,,,,,0.0,,
MSTR,2026-08-23,issue_common,MSTR,2006500000,0.903127,,-6.849135616490866e-06,-6.550983360594474e-06,-3.2648808176399074e-15,https://www.sec.gov/Archives/edgar/data/1050446/000119312526361845/mstr-20260824.htm
MSTR,2026-08-23,retire_pref,STRC,136400000,,0.953038,2.0457918355627412e-07,2.0457916612083744e-07,1.4998472589504212e-15,https://www.sec.gov/Archives/edgar/data/1050446/000119312526361845/mstr-20260824.htm
MSTR,2026-08-23,residual,,,,,,6.057140697797447e-07,,
MSTR,2026-08-30,price,,,,,,-2.9107295341475672e-06,,
MSTR,2026-08-30,itm_flip,,,,,,0.0,,
MSTR,2026-08-30,buy_coin,BTC,369700000,,,0.0,-3.519963028132504e-07,-9.521133427461467e-16,https://www.sec.gov/Archives/edgar/data/1050446/000119312526375463/mstr-20260831.htm
MSTR,2026-08-30,issue_common,MSTR,602800000,1.106790,,1.7816306672035462e-06,1.7625909311191294e-06,2.9240061896468635e-15,https://www.sec.gov/Archives/edgar/data/1050446/000119312526375463/mstr-20260831.htm
MSTR,2026-08-30,retire_pref,STRC,151800000,,0.974841,1.187256296510754e-07,1.1872562787540106e-07,7.821187607075168e-16,https://www.sec.gov/Archives/edgar/data/1050446/000119312526375463/mstr-20260831.htm
MSTR,2026-08-30,carry,DIV_INT,-50700000,,,,-1.5364599977737113e-06,,https://www.sec.gov/Archives/edgar/data/1050446/000119312526375463/mstr-20260831.htm
MSTR,2026-08-30,residual,,,,,,-3.2123226777918713e-07,,
MSTR,2026-09-07,price,,,,,,1.0415676699730703e-05,,
MSTR,2026-09-07,itm_flip,,,,,,0.0,,
MSTR,2026-09-07,retire_pref,STRC,176300000,,0.973557,1.4174461795438153e-07,1.41744628170265e-07,8.039967564961146e-16,https://www.sec.gov/Archives/edgar/data/1050446/000119312526384402/mstr-20260831.htm
MSTR,2026-09-07,residual,,,,,,1.8648661532323293e-07,,
MSTR,2026-09-13,price,,,,,,-1.3990368393508373e-05,,
MSTR,2026-09-13,itm_flip,,,,,,0.0,,
MSTR,2026-09-13,retire_pref,STRC,139300000,,0.980663,8.39040394413774e-08,8.390403261277282e-08,6.023261494097115e-16,https://www.sec.gov/Archives/edgar/data/1050446/000119312526389858/mstr-20260914.htm
MSTR,2026-09-13,residual,,,,,,-2.1383049779400906e-08,,
MSTR,2026-09-20,price,,,,,,2.0494596290115182e-05,,
MSTR,2026-09-20,itm_flip,,,,,,3.609021938019881e-06,,
MSTR,2026-09-20,buy_coin,BTC,75700000,,,0.0,3.25391968029453e-08,4.298440792991453e-16,https://www.sec.gov/Archives/edgar/data/1050446/000119312526396093/mstr-20260914.htm
MSTR,2026-09-20,retire_pref,STRC,174000000,,0.982364,8.995981459702607e-08,8.995982580259701e-08,5.170104931183736e-16,https://www.sec.gov/Archives/edgar/data/1050446/000119312526396093/mstr-20260914.htm
MSTR,2026-09-20,carry,DIV_INT,-57400000,,,,-1.6530168388112759e-06,,https://www.sec.gov/Archives/edgar/data/1050446/000119312526396093/mstr-20260914.htm
MSTR,2026-09-20,residual,,,,,,-8.35147880233044e-08,,
SBET,2026-06-28,price,,,,,,3.244810710402793e-06,,
SBET,2026-06-28,itm_flip,,,,,,0.0,,
SBET,2026-06-28,buy_coin,ETH,16110400,,,0.0,-1.027970741364695e-06,-6.38078968470488e-14,https://www.sec.gov/Archives/edgar/data/1981535/000149315226031202/form8-k.htm
SBET,2026-06-28,buyback_common,SBET,10022000,0.710406,,1.2307759452585381e-05,1.2351078371840123e-05,1.2323965647415808e-12,https://www.sec.gov/Archives/edgar/data/1981535/000149315226031202/form8-k.htm
SBET,2026-06-28,issue_common,SBET,73331000,1.131192,,2.5883486827371702e-05,2.0412155604545776e-05,2.7835643322122673e-13,https://www.sec.gov/Archives/edgar/data/1981535/000149315226029804/form8-k.htm
SBET,2026-06-28,carry,STAKE,0,,,,4.345652623539628e-06,,https://www.sec.gov/Archives/edgar/data/1981535/000149315226031202/form8-k.htm
SBET,2026-06-28,residual,,,,,,0.0,,
SBET,2026-06-30,price,,,,,,7.370566125243505e-07,,
SBET,2026-06-30,itm_flip,,,,,,0.0,,
SBET,2026-06-30,carry,STAKE,0,,,,7.143538559243462e-07,,https://www.sec.gov/Archives/edgar/data/1981535/000149315226036741/ex99-1.htm
SBET,2026-06-30,residual,,,,,,0.0,,
SBET,2026-08-03,price,,,,,,-2.54639554410881e-05,,
SBET,2026-08-03,itm_flip,,,,,,-2.6410272348027092e-05,,
SBET,2026-08-03,carry,STAKE,0,,,,9.36016113565162e-06,,https://www.sec.gov/Archives/edgar/data/1981535/000149315226036741/ex99-1.htm
SBET,2026-08-03,residual,,,,,,-3.204449241445487e-05,,
